exp,type,time
4,foreign,1044.5
4,pointer,1447.02
4,foreign,998.609
4,pointer,1395.3
4,foreign,987.871
4,pointer,1366.15
4,foreign,1063.47
4,pointer,1350.02
4,foreign,901.63
4,pointer,1438.99
4,foreign,1039.53
4,pointer,1323.19
4,foreign,961.229
4,pointer,1436.88
4,foreign,967.242
4,pointer,1396.15
4,foreign,1015.06
4,pointer,1387.52
4,foreign,922.888
4,pointer,1412.51
5,foreign,1239.07
5,pointer,1684.68
5,foreign,1161.57
5,pointer,1304.82
5,foreign,1087.85
5,pointer,1435.53
5,foreign,1150.93
5,pointer,1433.17
5,foreign,1137.08
5,pointer,1337.24
5,foreign,1052.97
5,pointer,1433.36
5,foreign,1198.41
5,pointer,1391.63
5,foreign,1092.79
5,pointer,1389.36
5,foreign,1151.8
5,pointer,1428.58
5,foreign,1164.89
5,pointer,1322.46
6,foreign,1047.87
6,pointer,2295.93
6,foreign,1146.49
6,pointer,1336.49
6,foreign,1068.9
6,pointer,1417.88
6,foreign,1103.02
6,pointer,1435.61
6,foreign,1192.64
6,pointer,1404.23
6,foreign,1173.58
6,pointer,1312.96
6,foreign,1080.09
6,pointer,1394.62
6,foreign,1106.52
6,pointer,1526.13
6,foreign,1143.37
6,pointer,1481.31
6,foreign,1215.59
6,pointer,1416.08
7,foreign,1335.85
7,pointer,2140.73
7,foreign,1154.08
7,pointer,1693.76
7,foreign,1264.92
7,pointer,1598.95
7,foreign,1309.55
7,pointer,1569.69
7,foreign,1317.29
7,pointer,1583.2
7,foreign,1300.5
7,pointer,1569.54
7,foreign,1225.99
7,pointer,1523.45
7,foreign,1200.22
7,pointer,1569.54
7,foreign,1211.26
7,pointer,1536.03
7,foreign,1173.47
7,pointer,1497.66
8,foreign,1082.81
8,pointer,1937.77
8,foreign,1254.14
8,pointer,1905.73
8,foreign,1183.28
8,pointer,1861.97
8,foreign,1208.18
8,pointer,1786.98
8,foreign,1099.65
8,pointer,1780.26
8,foreign,1255.42
8,pointer,1778.62
8,foreign,1119.36
8,pointer,1741.93
8,foreign,1232.95
8,pointer,1787.04
8,foreign,1212.38
8,pointer,1734.83
8,foreign,1097.04
8,pointer,1780.43
9,foreign,1249.76
9,pointer,2752.94
9,foreign,1186.85
9,pointer,1780.18
9,foreign,1159.87
9,pointer,1652.84
9,foreign,1113.58
9,pointer,1724.59
9,foreign,1124.24
9,pointer,1787.66
9,foreign,1104.51
9,pointer,1633.16
9,foreign,1093.02
9,pointer,1676.66
9,foreign,1127.88
9,pointer,1691.39
9,foreign,1124.47
9,pointer,1644.52
9,foreign,1078
9,pointer,1663.83
10,foreign,1145.81
10,pointer,4351.2
10,foreign,1077.59
10,pointer,1835.06
10,foreign,1194.92
10,pointer,1832.77
10,foreign,1109.48
10,pointer,1726.64
10,foreign,1138.95
10,pointer,1783.86
10,foreign,1165.32
10,pointer,1712
10,foreign,1122.24
10,pointer,1846.01
10,foreign,1209.71
10,pointer,1833.04
10,foreign,1144.99
10,pointer,1833.82
10,foreign,1100.77
10,pointer,1882.01
